iter	Passed	Remaining
930	6622	490
931	6629	483
932	6637	476
933	6644	469
934	6652	462
935	6659	455
936	6668	448
937	6675	441
938	6683	434
939	6691	427
940	6698	419
941	6708	413
942	6716	406
943	6723	398
944	6731	391
945	6742	384
946	6749	377
947	6759	370
948	6770	363
949	6778	356
950	6787	349
951	6794	342
952	6802	335
953	6808	328
954	6815	321
955	6821	313
956	6826	306
957	6833	299
958	6840	292
959	6846	285
960	6853	278
961	6859	270
962	6866	263
963	6872	256
964	6878	249
965	6886	242
966	6891	235
967	6897	228
968	6903	220
969	6908	213
970	6915	206
971	6922	199
972	6929	192
973	6935	185
974	6941	177
975	6947	170
976	6953	163
977	6959	156
978	6966	149
979	6972	142
980	6981	135
981	6988	128
982	6997	121
983	7004	113
984	7010	106
985	7016	99
986	7022	92
987	7029	85
988	7035	78
989	7040	71
990	7048	64
991	7054	56
992	7061	49
993	7067	42
994	7073	35
995	7082	28
996	7092	21
997	7100	14
998	7108	7
999	7117	0
